			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	Tuider.2016	Tuider, Elisabeth	Diskursive Gemengelagen		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.1 Kinder	Diskurs // discourse; Kinder // children; kindliche Sexualität // childhood sexuality
FALSCH	FALSCH	FALSCH	Tuider.2017	Tuider, Elisabeth	Intersektionale Perspektiven auf Sexualität und Gender im Kontext von Migrationsgesellschaft		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Intersektionalität // intersectionality; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Tuider.2017b	Tuider, Elisabeth	Sichtweisen auf sexualisierte Gewalt und sexualisierte Grenzüberschreitungen unter Jugendlichen		1 Soziale Rahmung; 1.1 Diskurse; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.12 Safer Places	Diskursanalyse // discourse analysis; Grenzen // boundaries; Jugendliche // youth; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Tuider.2018	Tuider, Elisabeth	Sexualisierte Gewalt in poststrukturalistischer Theorieperspektive		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.12 Safer Places	Sexualisierte Gewalt // sexual violence; Sozialwissenschaften // social sciences; Theorie // theory
FALSCH	FALSCH	FALSCH	Vobbe.2019	Vobbe, Frederic	Das Forschungsprojekt »Human«		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 6.4 Disclosure, Aufarbeitung; 8 Forschung; 9 Förderlinie; 9.2.4 HUman	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Digitale Medien // digital media; Disclosure // disclosure; Fachberatungsstelle // specialist counselling; Forschungsergebnisse // research results; Forschungspraxis // research practice; Haltung // attitude; Handlungsempfehlungen // guidelines; Hochschule, Universität // college, university; jugendliche Täter*innen // youth offenders; Medien // media; Sexualisierte Gewalt // sexual violence; Täter*in // offender
FALSCH	FALSCH	FALSCH	Vogelsang.2019	Vogelsang, Verena	Mobile Medien: Selfies, Sexting, Selbstdarstellung		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 5 Adressat*innen; 5.2 Jugendliche; 8 Forschung	Digitale Medien // digital media; Jugendliche // youth; Jugendsexualität // youth sexuality; junge Erwachsene // young adults; Medien // media; Selbstbestimmung // agency; sexting // sexting; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Sexualisierte Gewalt // sexual violence; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Vo.2015	Voß, Heinz-Jürgen	Queer		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Vo.2016	Voß, Heinz-Jürgen	Diversity Kompetenz		1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Diversität // diversity; Homosexualität // homosexuality; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Christmann.2019	Christmann, Bernd; Wazlawik, Martin	Organisationsethik als Perspektive für die Entwicklung und Ausgestaltung von Schutzkonzepten gegen sexualisierte Gewalt in pädagogischen Einrichtungen	Neue Praxis	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 8 Forschung; 9 Förderlinie; 9.2.2 BerGe	Forschungsethik // research ethics; Organisationskultur // organisational culture; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Vo.2018b	Voß, Heinz-Jürgen; Krolzik-Matthei, Katja	Sexualisierte Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9.3.1 Forschungsprof Merseburg	Forschungsergebnisse // research results; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Wanke.2018	Wanke, Peter	Limes		3 Thematischer Fokus; 3.4 Intervention; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt	Geschwister // siblings; jugendliche Täter*innen // youth offenders; Psychotherapie // psychotherapy; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Watzlawik.2016	Watzlawik, Meike; Wenner, Friederike	Schwul, lesbisch, bi, hetero oder nichts von alledem?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Wazlawik.2018	Wazlawik, Martin; Briken, Peer; Christmann, Bernd; Dekker, Arne	Forschungsethik im Kontext der Erforschung sexualisierter Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 8 Forschung; 9 Förderlinie; 9.3.2 Junprof Hamburg; 9.3.5 Junprof Münster	Forschungsethik // research ethics; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Wazlawik.2018b	Wazlawik, Martin; Christmann, Bernd; Rothlaender, Josephine; Pöter, Jan	Kooperation im Umgang mit sexualisierter Gewalt		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.2.2 BerGe	Handlungsempfehlungen // guidelines; Kooperation // cooperation; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Wazlawik.2018c	Wazlawik, Martin; Christmann, Bernd; Dekker, Arne	Präventionsansätze, ihre Grenzen und Potenziale		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.3.5 Junprof Münster	Forschungsergebnisse // research results; Forschungsstand // state of research; Prävention // prevention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Wazlawik.2018b	Wazlawik, Martin; Kopp, Katharina	Neue Kollegin, neuer Kollege		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.5 Hochschule; 3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.3.5 Junprof Münster	Kinderschutz // child protection; Soziale Arbeit // Social Work; Weiterbildung // further education
FALSCH	FALSCH	FALSCH	Wazlawik.2018d	Wazlawik, Martin; Wolff, Mechthild	Gefährdungen von Kindern und Jugendlichen und der Schutzauftrag der Kinder- und Jugendhilfe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.3 Kinderschutz; 9 Förderlinie; 9.3.5 Junprof Münster	Institutionelle Dynamiken // institutional dynamics; Kinder- und Jugendhilfe // child welfare system; Kindeswohl // child welfare; Schutzfaktoren // protection factor; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Weitzmann.2018	Weitzmann, Gabriele	Der Schutzauftrag bei Kindeswohlgefährdungen		3 Thematischer Fokus; 3.3 Kinderschutz; 3.4 Intervention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch	Handlungsempfehlungen // guidelines; Intervention // intervention; Kindeswohl // child welfare; Konzepte, Materialien // concepts; Pädagogische Einrichtung // educational facilities; Schutzfaktoren // protection factor; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Welter.2016	Welter, Max; Rind, Bruce	Das gesellschaftliche Konstrukt der sexuellen Selbstbestimmung im deutschen Recht		1 Soziale Rahmung; 1.1 Diskurse; 1.2 Leitlinien; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Recht // law; Selbstbestimmung // agency
FALSCH	FALSCH	FALSCH	Christmann.2020	Christmann, Bernd; Wazlawik, Martin	Förderlinie im Dialog	Zeitschrift für Sexualforschung	1 Soziale Rahmung; 1.1 Diskurse; 8 Forschung; 9 Förderlinie	Forschungspraxis // research practice; Pädagogik // pedagogy; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Wenzlaff.2016	Wenzlaff, Frederike; Dekker, Arne	Alterseinschätzung im Kontext von Pornografie		3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.2 Junprof Hamburg	Forschungsergebnisse // research results; Pädosexualität // pedosexuality; Pornografie // pornography; Survey // survey
FALSCH	FALSCH	FALSCH	Willekens.2017	Willekens, Harry	Der rechtliche Umgang mit der Sexualität von Jugendlichen und Kindern		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Diskurs // discourse; Geschichte // history; Jugendliche // youth; Jugendsexualität // youth sexuality; Kinder // children; kindliche Sexualität // childhood sexuality; Recht // law
FALSCH	FALSCH	FALSCH	Winheller.2015	Winheller, Sandra	Biographische Selbstreflexion und Gender-Kompetenz		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.5 Hochschule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien	Biographieforschung // biographical research; Geschlecht // gender; Hochschule, Universität // college, university; Intersektionalität // intersectionality; Konzepte, Materialien // concepts
FALSCH	FALSCH	FALSCH	Winter.2018	Winter, Veronika; Wolff, Mechthild	Intervention		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Intervention // intervention; Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Winter.2019b	Winter, Veronika; Wolff, Mechthild	E-Learning im Kontext von Schutzprozessen in pädagogischen Organisationen		1 Soziale Rahmung; 1.3 Medien und Technologie; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.5 Praxismaterialien	Digitale Medien // digital media; Konzepte, Materialien // concepts; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Witte.2018b	Witte, Susanne; Prayon-Blum, Valeria; Kliemann, Andrea	Personalentwicklung		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Wittfeld.2017	Wittfeld, Meike	Zwischen Schutzauftrag und Generalverdacht		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.5 IRiK	Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Wittfeld.2018	Wittfeld, Meike; Bittner, Martin	Familialität als Risikofaktor für sexuelle Gewalt in pädagogischen Institutionen?		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 2.2.4 Stationäre Einrichtung; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.5 IRiK	Ethnographie // ethnography; Forschungsergebnisse // research results; Institutionelle Dynamiken // institutional dynamics; Kinder- und Jugendhilfe // child welfare system; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Wolff.2015	Wolff, Mechthild	Heimerziehung und Gewalt		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Pädagogische Einrichtung // educational facilities; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Wolff.2015b	Wolff, Mechthild	Sexueller Missbrauch in Institutionen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.12 Safer Places	Forschungsstand // state of research; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Politik // politics; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Christoffer.2019	Christoffer, Jacqueline; Böttcher, Nastassia-Laila	Sexuelle Revolution im Klassenzimmer	Sozial Extra	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	68er // 1960s; Geschichte // history; Institutionelle Dynamiken // institutional dynamics; Lehrer*innen // Teachers; Schule // school; Schüler*innen // pupils; Sexualität // sexuality; Sexualkultur // sexuality culture; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	Wolff.2018c	Wolff, Mechthild	Sexualisierte Gewalt in stationären Einrichtungen der Kinder- und Jugendhilfe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.3 Ich bin sicher!	Kinder- und Jugendhilfe // child welfare system; Sexualisierte Gewalt // sexual violence; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Wolff.2019	Wolff, Mechthild	Kindeswohlgefährdung und der Verlust sozialer Kohäsion – Zur Notwendigkeit proaktiver Prävention durch Schutzkonzepte in Organisationen Sozialer Arbeit		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz; 9.2.11 SchutzNorm	Kindeswohl // child welfare; Organisationskultur // organisational culture; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Schutzkonzept // protection concept; Selbstbestimmung // agency; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	Wolff.2019	Wolff, Mechthild	Risiken des Machtmissbrauchs in Organisationen Sozialer Arbeit. Zur Notwendigkeit einer machtreflektierten professionellen Beziehungsarbeit		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9.2.11 SchutzNorm	Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Disclosure // disclosure; Forschungsergebnisse // research results; Forschungsethik // research ethics; Forschungspraxis // research practice; Forschungsstand // state of research; Kinderschutz // child protection; Kindeswohl // child welfare; Kommunikation // communication; Menschenrechte // human rights; Nähe-Distanz-Regulation // boundary management; Normen // norms; Organisationskultur // organisational culture; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Partizipation // participation; Prävalenz // prevalence; Prävention // prevention; Praxis // practice; Professionalität // professionality; Professionsethik // professional ethics; Schutzfaktoren // protection factor; Schutzkonzept // protection concept; Selbstbestimmung // agency; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	Wolff.2017b	Wolff, Mechthild; Bawidamann, Anja	Schutzkonzepte		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Wolff.2018	Wolff, Mechthild; Oppermann, Carolin; Schröer, Wolfgang; Winter, Veronika	Gefährdungsanalyse in Organisationen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Risikofaktoren // risk factors; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Yegorova.2019	Yegorova, Alona; Eikenbusch, Nadine	EU-Initiative klicksafe		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.4 Intervention	Betroffene sexualisierter Gewalt // sexual assault survivors; Digitale Medien // digital media; Medien // media; Selbstbestimmung // agency; sexting // sexting; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Zillig.2015	Zillig, Ute; Neumann, Ute	Gewalt als Thema in der geschlechterreflektierenden Pädagogik		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Geschlecht // gender; Gewalt // violence; Konzepte, Materialien // concepts; Pädagogik // pedagogy
FALSCH	FALSCH	FALSCH	Zinsmeister.2018	Zinsmeister, Julia; Kliemann, Andrea; Bernhard, Katja	Arbeits- und Personalrecht		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Kinderschutz // child protection; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Recht // law
FALSCH	FALSCH	FALSCH	Conrad.2015	Conrad, Anne; Blume, Johanna E.; Moos, Jennifer J.	Frauen, Männer, Queer		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Geschichte // history; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Männlichkeit // masculinity; Queer Theorie // Queer Theory; Weiblichkeit // femininity
FALSCH	FALSCH	FALSCH	Conradi.2016	Conradi, Elisabeth; Vosman, Frans	Praxis der Achtsamkeit		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken	Achtsamkeit // awareness
FALSCH	FALSCH	FALSCH	Crone.2015	Crone, Gerburg; Liebhardt, Hubert	Institutioneller Schutz vor sexuellem Missbrauch		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Kirche // church; Pädagogische Einrichtung // educational facilities; Sexueller Missbrauch // sexual abuse
